Rank,Title,Genre,Director,Year,Runtime (Minutes),IMDB Rating,Votes,Revenue (Millions),Metascore
36,Captain America: Civil War,Action,Anthony Russo,2016,147,7.9,411656,408.08,75
37,Interstellar,Adventure,Christopher Nolan,2014,169,8.6,1047747,187.99,74
38,Doctor Strange,Action,Scott Derrickson,2016,115,7.6,293732,232.6,72
39,The Magnificent Seven,Action,Antoine Fuqua,2016,132,0,122853,93.38,54
40,5- 25- 77,Comedy,Patrick Read Johnson,2007,113,7.1,241,0,0
41,Sausage Party,Animation,Greg Tiernan,2016,89,6.3,120690,97.66,66
42,Moonlight,Drama,Barry Jenkins,2016,111,7.5,135095,27.85,99
43,Don't Fuck in the Woods,Horror,Shawn Burkett,2016,73,2.7,496,0,0
44,The Founder,Biography,John Lee Hancock,2016,115,7.2,37033,12.79,66
45,Lowriders,Drama,Ricardo de Montreuil,0,99,6.3,279,4.21,57
46,Pirates of the Caribbean: On Stranger Tides,Action,Rob Marshall,2011,136,6.7,395025,241.06,45
47,Miss Sloane,Drama,John Madden,2016,132,7.3,17818,3.44,64
48,Fallen,Adventure,Scott Hicks,2016,91,0,5103,0,0
49,Star Trek Beyond,Action,Justin Lin,2016,122,7.1,164567,158.8,68
50,The Last Face,Drama,Sean Penn,2016,130,3.7,987,0,16
51,Star Wars: Episode VII - The Force Awakens,Action,J.J. Abrams,2015,136,8.1,661608,936.63,81
52,Underworld: Blood Wars,Action,Anna Foerster,2016,91,5.8,41362,30.35,23
53,Mother's Day,Comedy,Garry Marshall,2016,118,5.6,20221,32.46,18
54,John Wick,Action,Chad Stahelski,2014,101,7.2,321933,43,68
55,The Dark Knight,Action,Christopher Nolan,2008,152,9,1791916,533.32,82
56,Silence,Adventure,Martin Scorsese,2016,161,7.3,49190,7.08,79
57,Don't Breathe,Crime,Fede Alvarez,2016,88,7.2,121103,89.21,71
58,Me Before You,Drama,Thea Sharrock,2016,106,7.4,113322,56.23,51
59,Their Finest,Comedy,Lone Scherfig,2016,117,7,3739,3.18,76
60,Sully,Biography,Clint Eastwood,2016,96,0,137608,125.07,74
61,Batman v Superman: Dawn of Justice,Action,Zack Snyder,2016,151,6.7,472307,330.25,44
62,The Autopsy of Jane Doe,Horror,André Øvredal,2016,86,6.8,35870,0,65
63,The Girl on the Train,Crime,Tate Taylor,2016,112,6.5,102177,75.31,48
64,Fifty Shades of Grey,Drama,Sam Taylor-Johnson,2015,125,4.1,244474,166.15,46
65,The Prestige,Drama,Christopher Nolan,2006,130,8.5,913152,53.08,66
66,Kingsman: The Secret Service,Action,Matthew Vaughn,2014,129,7.7,440209,128.25,58
67,Patriots Day,Drama,Peter Berg,2016,133,7.4,39784,31.86,69
68,Mad Max: Fury Road,Action,George Miller,2015,120,8.1,632842,153.63,90
69,Wakefield,Drama,Robin Swicord,0,106,7.5,291,0.01,61
70,Deepwater Horizon,Action,Peter Berg,2016,107,7.2,89849,61.28,68
71,The Promise,Drama,Terry George,2016,133,5.9,149791,0,49
72,Allied,Action,Robert Zemeckis,0,124,7.1,78079,40.07,60
73,A Monster Calls,Drama,J.A. Bayona,2016,108,7.5,39134,3.73,76
74,Collateral Beauty,Drama,David Frankel,2016,97,6.8,43977,30.98,23
75,Zootopia,Animation,Byron Howard,2016,108,8.1,296853,341.26,78
76,Pirates of the Caribbean: At World's End,Action,Gore Verbinski,2007,169,7.1,498821,309.4,50
77,The Avengers,Action,Joss Whedon,2012,143,8.1,1045588,623.28,69
78,Inglourious Basterds,Adventure,Quentin Tarantino,2009,153,8.3,959065,120.52,69
79,Pirates of the Caribbean: Dead Man's Chest,Action,Gore Verbinski,2006,151,7.3,552027,423.03,53
80,Ghostbusters,Action,Paul Feig,2016,116,5.3,147717,128.34,60
81,Inception,Action,Christopher Nolan,2010,148,8.8,1583625,292.57,74
82,Captain Fantastic,Comedy,Matt Ross,2016,118,7.9,105081,5.88,72
83,The Wolf of Wall Street,Biography,Martin Scorsese,2013,180,8.2,865134,116.87,75
84,Gone Girl,Crime,David Fincher,0,149,8.1,636243,167.74,79
85,Furious Seven,Action,James Wan,2015,137,7.2,301249,350.03,67
86,Jurassic World,Action,Colin Trevorrow,2015,124,7,455169,652.18,59
87,Live by Night,Crime,Ben Affleck,2016,129,6.4,27869,10.38,49
88,Avatar,Action,James Cameron,2009,162,7.8,935408,760.51,83
89,The Hateful Eight,Crime,Quentin Tarantino,2015,187,7.8,341170,54.12,68
90,The Accountant,Action,Gavin O'Connor,2016,128,7.4,162122,86.2,51
91,Prisoners,Crime,Denis Villeneuve,2013,153,8.1,431185,60.96,74
92,Warcraft,Action,Duncan Jones,2016,123,7,187547,0,32
93,The Help,Drama,Tate Taylor,2011,146,8.1,342429,169.71,62
94,War Dogs,Comedy,Todd Phillips,2016,114,0,106463,43.02,57
95,Avengers: Age of Ultron,Action,Joss Whedon,2015,141,7.4,516895,458.99,66
96,The Nice Guys,Action,Shane Black,0,116,7.4,175067,36.25,70
97,Kimi no na wa,Animation,Makoto Shinkai,2016,106,8.6,34110,4.68,79
98,The Void,Horror,Jeremy Gillespie,2016,90,5.8,9247,0.15,62
99,Personal Shopper,Drama,Olivier Assayas,2016,105,6.3,10181,1.29,77
